StationId,Date,PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,AQI,AQI_Bucket
WB010,2019-07-20,18.5,31.02,3.23,8.35,20.27,0.28,2.74,13.75,26.0,Good
MH008,2020-05-25,12.3,33.94,4.61,6.31,3.83,0.44,5.71,38.49,43.0,Good
TG002,2018-07-06,15.31,38.07,2.98,15.66,4.92,0.2,2.42,23.24,29.0,Good
CH001,2020-03-26,13.28,40.33,1.85,8.79,41.23,0.5,10.54,12.43,39.0,Good
WB013,2020-06-19,18.62,41.66,3.38,25.96,27.72,0.72,2.73,23.09,42.0,Good
KL008,2020-07-01,2.0,35.0,1.68,2.3,5.62,0.42,6.15,22.1,41.0,Good
MH010,2019-07-09,11.0,35.74,4.7,12.48,9.0,0.26,2.24,8.87,34.0,Good
MH008,2019-08-06,11.76,37.6,5.1,2.48,4.28,0.26,1.82,11.51,39.0,Good
MH009,2020-06-05,11.11,35.71,7.05,19.52,24.83,0.28,16.3,28.33,47.0,Good
TG002,2019-07-11,7.1,42.88,0.45,8.69,5.9,0.38,2.12,21.81,37.0,Good
AS001,2019-09-14,23.58,44.23,5.71,8.08,2.27,0.5,12.66,16.45,41.0,Good
WB010,2019-07-10,18.83,33.98,2.48,8.84,19.76,0.31,6.12,20.11,38.0,Good
MH010,2019-08-04,7.09,25.52,1.3,3.05,44.04,0.3,3.87,14.91,23.0,Good
WB010,2019-08-21,25.17,38.03,4.01,11.33,9.9,0.35,2.4,9.29,40.0,Good
CH001,2020-03-12,19.08,38.09,7.16,19.73,69.07,0.54,8.23,15.5,49.0,Good
KA008,2020-06-08,23.44,55.52,1.91,16.54,7.23,0.52,5.38,25.06,48.0,Good
WB007,2020-06-14,6.59,18.05,6.34,6.05,3.85,0.25,2.34,20.7,26.0,Good
KA007,2019-07-03,11.55,41.66,0.65,7.52,5.06,0.38,1.53,32.55,44.0,Good
DL027,2019-09-30,19.88,53.89,2.8,10.03,23.92,0.64,2.19,7.08,43.0,Good
KL008,2020-04-08,10.64,30.67,7.16,6.42,5.06,0.63,7.52,35.53,40.0,Good
MH014,2020-05-24,12.4,42.65,1.42,4.96,0.83,0.21,3.96,27.78,45.0,Good
TG002,2018-07-09,15.27,27.5,2.6,10.75,4.98,0.17,2.25,29.66,34.0,Good
TG002,2020-05-15,12.5,47.16,8.84,24.03,8.54,0.22,5.8,27.24,49.0,Good
CH001,2020-04-05,15.43,34.61,2.15,13.07,33.74,0.54,10.4,17.37,35.0,Good
WB013,2019-04-10,19.62,35.13,3.65,30.72,27.11,0.79,1.48,22.33,47.0,Good
DL024,2019-07-29,14.68,49.01,10.19,29.65,40.01,0.72,8.26,20.9,50.0,Good
MH014,2020-04-25,13.97,44.27,1.55,2.89,2.09,0.24,3.96,28.8,49.0,Good
MH006,2019-08-04,7.01,20.65,0.82,7.1,1.4,0.14,7.76,46.64,49.0,Good
DL027,2019-08-16,12.23,29.1,1.13,3.91,36.35,0.54,2.24,14.92,38.0,Good
KL008,2019-07-19,7.19,17.91,1.05,3.88,1.78,0.42,1.96,24.33,41.0,Good
MH013,2019-07-22,7.56,23.52,15.08,20.35,8.01,0.42,17.19,12.59,42.0,Good
TG003,2020-06-23,19.89,51.3,1.57,5.27,9.63,0.33,5.65,26.54,44.0,Good
TG006,2019-06-14,16.61,39.22,0.5,16.08,6.78,0.17,1.07,37.31,46.0,Good
AP001,2019-04-21,9.77,35.42,1.48,12.59,3.34,0.32,21.81,28.75,41.0,Good
AP001,2020-06-28,16.65,28.51,1.43,8.32,9.77,0.66,10.86,37.34,49.0,Good
AP005,2020-06-27,15.02,50.94,7.68,25.06,12.47,0.47,8.55,23.3,41.0,Good
AP001,2019-08-30,10.11,23.08,23.03,14.19,24.24,0.45,16.84,23.09,37.0,Good
PB001,2019-07-26,24.73,49.38,9.45,9.94,10.66,0.5,11.8,14.03,46.0,Good
AP005,2018-05-26,13.25,31.62,4.89,13.2,10.11,0.3,2.76,21.74,40.0,Good
MH010,2019-09-25,17.15,31.42,8.96,5.25,48.0,0.24,5.18,7.82,35.0,Good
WB010,2019-11-09,8.92,17.65,4.33,10.5,14.88,0.34,4.48,12.91,39.0,Good
AS001,2020-06-06,12.45,20.53,1.24,6.97,1.38,0.39,15.7,30.37,37.0,Good
KA007,2018-07-06,12.26,24.84,13.1,37.83,34.76,0.43,10.64,22.47,38.0,Good
AS001,2020-06-19,12.18,21.4,1.25,5.73,2.92,0.38,15.89,22.25,30.0,Good
TG003,2018-08-29,16.47,59.78,0.53,5.51,6.38,0.22,13.83,20.48,46.0,Good
CH001,2020-04-06,20.93,47.96,1.66,10.91,46.0,0.41,12.81,22.15,41.0,Good
KA011,2020-04-11,22.83,41.76,0.67,5.24,14.36,0.49,1.29,30.68,41.0,Good
MH010,2020-06-06,9.89,26.49,2.41,9.94,6.95,0.35,3.41,4.72,20.0,Good
WB010,2020-05-28,13.29,30.24,3.83,9.14,5.37,0.5,5.0,22.65,36.0,Good
WB011,2019-09-03,13.4,28.31,8.5,13.64,11.83,0.27,7.14,15.4,40.0,Good
TG003,2018-06-30,16.07,46.0,0.45,4.6,6.09,0.2,10.87,29.84,50.0,Good
WB010,2019-09-18,11.96,22.55,6.7,6.81,20.54,0.36,2.69,7.58,28.0,Good
AP005,2020-06-26,7.63,32.27,5.91,23.27,11.15,0.46,6.87,19.9,47.0,Good
WB008,2020-05-27,13.78,34.44,2.24,4.65,10.03,0.3,13.87,32.55,47.0,Good
AS001,2020-04-23,26.52,46.48,2.21,7.14,10.16,0.38,13.86,31.74,46.0,Good
AP005,2019-09-19,9.76,27.66,3.26,9.06,3.87,0.43,14.52,36.58,43.0,Good
DL027,2020-06-25,30.17,47.01,2.56,7.95,54.82,0.51,5.03,15.04,40.0,Good
