iter	Passed	Remaining
0	158	80133
11	367	9280822	454	7631133	564	70930
4	676	67940
5	775	64737
6	891	63696
7	989	61690
8	1099	60859
9	1210	60176
10	1323	59679
11	1419	58560
12	1505	57218
13	1594	56134
14	1695	55622
15	1811	55585
16	1886	54380
17	2030	55153
18	2160	55494
19	2275	55401
20	2347	54328
21	2419	53347
22	2497	52558
23	2569	51714
24	2639	50891
25	2728	50482
26	2793	49656
27	2870	49109
28	2978	49099
29	3082	49004
30	3155	48454
31	3247	48199
32	3341	47989
33	3433	47768
34	3499	47192
35	3587	46935
36	3657	46458
37	3744	46221
38	3833	45998
39	3927	45855
40	4004	45517
41	4116	45572
42	4192	45244
43	4279	45030
44	4379	44960
45	4457	44674
46	4531	44349
47	4630	44279
48	4720	44118
49	4776	43654
50	4857	43433
51	4946	43280
52	5021	43011
53	5098	42774
54	5196	42709
55	5264	42395
56	5349	42229
57	5421	41966
58	5489	41683
59	5559	41420
60	5640	41242
61	5702	40928
62	5784	40768
63	5860	40562
64	5925	40293
65	5995	40057
66	6083	39948
67	6179	39891
68	6242	39625
69	6316	39431
70	6381	39187
71	6474	39114
72	6560	39006
73	6619	38733
74	6678	38469
75	6744	38248
76	6802	37987
77	6858	37723
78	6917	37477
79	6973	37221
80	7040	37029
81	7102	36811
82	7162	36589
83	7222	36370
84	7277	36131
85	7334	35904
86	7397	35710
87	7461	35527
88	7521	35325
89	7580	35123
90	7640	34926
91	7706	34761
92	7765	34569
93	7825	34381
94	7884	34195
95	7942	396	7896	8000	397	7984	33323
98	8078	33295
99	8194	33350
100	8315	33426
101	8384	33292
102	8462	33194
103	8552	33140
104	8623	33014
105	8743	33078
106	8813	32947
107	8910	32917
108	8978	32782
109	9085	32790
110	9153	32657
111	9278	32723
112	9369	32669
113	9452	32586
114	9526	32471
115	9608	32385
116	9703	32343
117	9776	32227
118	9878	32208
119	9961	32125
120	10022	31973
121	10127	31959
122	10194	31825
123	10250	31660
124	10391	31755
125	10468	31654
126	10541	31542
127	10639	31503
128	10700	31355
129	10803	31330
130	10903	31296
131	10999	31248
13132	11180	3144133	11144	31022
13134	11320	311313135	11409	311313136	11491	311313137	11592	301313138	11689	309413139	11769	308514140	11865	308014141	11953	307214142	12050	306714143	12108	301414144	12175	301414145	12265	301414146	12365	3014147	12366	299914148	12433	298714149	12532	298215150	12640	298015151	12733	29740
152	12819	296615153	12924	296215154	13009	295415155	13095	294615156	13185	293915157	13254	292715158	13334	291815159	13434	291316160	13497	290016161	13594	289516162	13666	288416163	13747	2875164	13859	28727
16165	13901	2855166	14013	28530
167	14097	28445
16168	14126	2825169	14254	28256
170	14326	28149
171	14439	28122
172	14499	27993
17173	14569	278817174	14708	27905
175	14814	27860
176	15056	28071
177	15215	28123
178	15373	28171
179	15474	28111
180	15551	28010
181	15611	27876
182	15668	27740
183	15740	27631
184	15815	27527
185	15885	27414
186	15973	27333
187	16038	27213
188	16143	27161
189	16197	27023
190	16275	26927
191	16366	26850
192	16580	26975
193	16842	27173
194	16972	27155
195	17083	27106
196	17208	27079
197	17350	27077
198	17473	27043
199	17515	26885
200	17561	26735
201	17617	26600
202	17658	26443
203	17695	26282
204	17732	26123
205	17781	25981
206	17820	25827
207	17853	25664
208	17888	25506
209	17929	25358
210	17966	25204
211	18001	25049
212	18037	24897
213	18073	24745
214	18107	24592
215	18143	24443
216	18183	24301
217	18214	24146
218	18249	23999
219	18285	23854
220	18328	23719
221	18361	23572
222	18397	23430
223	18437	23294
224	18478	23160
225	18515	23021
226	18549	22880
227	18588	22746
228	18624	22610
229	18658	22470
230	18694	22336
231	18733	22205
232	18766	22068
233	18811	21946
234	18853	21822
235	18887	21688
236	18923	21558
237	18959	21428
238	18995	21300
239	19038	21180
240	19075	21054
241	19114	20930
242	19152	20807
243	19191	20685
244	19228	20563
245	19265	20439
246	19306	20322
247	19342	20200
248	19381	20082
249	19416	19959
25250	19564	199525251	19615	198425252	19660	197325253	19699	196225254	19742	195125255	19788	194025256	19835	19295
257	19882	19188
258	19938	19091
259	19980	18981
260	20025	18874
261	20079	18776
262	20130	18675
263	20175	18570
264	20224	18469
265	20268	18363
266	20316	18261
267	20363	18160
268	20416	18063
